Field 1,Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
, Deck Nine Games           ,2024-12-06,,, Indie     ,Colorado,United States
,Sweet Bandits,2024-12-04,10,, Indie     ,Qeuebec ,Canada
,IllFonic,2024-12-04,,, Indie     ,Colorado,United States
,Ubisoft Sydney,2024-12-04,134, Ubisoft                  , Console   ,Australia,France
,Ubisoft Osaka,2024-12-03,, Ubisoft                  , Console   ,Japan,France
,Ubisoft San Francisco,2024-12-03,175, Ubisoft                  , Console   ,California,France
,Torn Banner Studios,2024-12-03,,, Indie     ,Ottawa,Canada
,Worlds Untold,2024-11-26,35,Netease, Console   ,British Columbia,China
,Humanoid Origin,2024-11-25,70,, Console   ,Alberta,Canada
,KING Art Games,2024-11-25,10,, Indie     ,Germany,Germany
,Zapper Games,2024-11-19,18, Embracer Group           , Console   ,North Carolina,Sweden
,Heart Machine,2024-11-09,8,, Indie     ,California,United States
,Reflector Entertainment,2024-11-18,45,Bandai Namco, Console   ,Quebec,Japan
,NCSoft,2024-11-15,500,NCSoft, Online    ,South Korea,South Korea
,Thunderful Games,2024-11-14,100,Thunderful Group, Console   ,Sweden,Sweden
,Lilith Games,2024-11-13,40,, Mobile    ,China,China
,Skydance Interactive,2024-11-01,12,Paramount Global, AR/VR     ,California,United States
, probablyMonsters          ,2024-10-30,50,, Console   ,Washington,United States
,Fingersoft,2024-10-30,14,, Mobile    ,Finland,Finland
,Firewalk Studios,2024-10-29,174, Sony                     , Console   ,Washington,Japan
,Neon Koi,2024-10-29,45, Sony                     , Mobile    ,England,Japan
,Machine Zone,2024-10-24,,App Lovin, Mobile    ,California,United States
,Inflexion Games,2024-10-22,50,Tencent, Console   ,Alberta,China
,Netflix Studio Blue,2024-10-22,35,Netflix, Online    ,California,United States
,Surgent Studios,2024-10-18,,, Indie     ,England,United Kingdom
,DON'T NOD,2024-10-16,69,, Console   ,France,France
, Riot Games                ,2024-10-15,32,Tencent, Online    ,California,China
,NaturalMotion,2024-10-10,, TakeTwo Interactive      , Mobile    ,England,United States
,Cryptic Studios,2024-10-09,, Embracer Group           , Online    ,California,Sweden
,Tequila Works,2024-10-08,,Tencent, Console   ,Spain,China
,Antstream Arcade,2024-10-04,,, Online    ,England,United Kingdom
,Studio Black Flag,2024-10-02,5,, Indie     ,France,France
,XR Games,2024-10-01,72,, AR/VR     ,England,United Kingdom
,HiRez Studios,2024-10-01,70,Hirez Ventures, Online    ,Georgia,United States
,Sharkmob London,2024-10-01,,Tencent, Console   ,England,China
,Nexon America,2024-09-30,,Nexon, Publisher ,California,South Korea
,Merge Games,2024-09-26,,Maximum Entertainment, Publisher ,England,Sweden
,Mountaintop Studios,2024-09-23,13,, Online    ,Washington,United States
,Airship Syndicate,2024-09-18,16,, Indie     ,Texas,United States
,SkyBox Labs,2024-09-18,25,Netease, Online    ,British Columbia,China
