Field 1,Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
,PlayTika,2022-12-22,600,PlayTika, Mobile    ,,Israel
,PlayTika,2022-06-01,250,PlayTika, Mobile    ,"England, Quebec",Israel
,Wildlife Studios,2022-11-29,300,Wildlife Studios, Mobile    ,Brazil,Brazil
, Kabam                     ,2022-11-10,35,, Mobile    ,Canada,Canada
,Mighty Kingdom,2022-09-28,,, Indie     ,Australia,Australia
,Booyah!,2022-09-22,35,Sea Ltd., Online    ,California,Singapore
,Lockwood Publishing,2022-09-02,34,, Publisher ,England,United Kingdom
, Ludia                     ,2022-08-04,200, Jam City                 , Mobile    ,Quebec,United States
, Unity Technologies        ,2022-06-30,150,Unity, Tech      ,California,United States
,Adjust,2022-06-27,,App Lovin, Mobile    ,California,United States
, Niantic                   ,2022-06-30,90,Niantic, Mobile    ,California,United States
,Tencent IEG,2022-05-25,50,Tencent, Publisher ,China,China
,37 Mobile Games,2022-07-29,130,Sanqi Interactive Entertainment, Mobile    ,China,China
,IGG,2022-06-30,598,IGG, Mobile    ,China,Singapore
,Archosaur Games,2022-06-30,304,Zulong Entertainment, Mobile    ,China,China
,Perfect World Games,2022-01-27,1000,Perfect World Co. Ltd., Publisher ,China,China
,Hangar 13,2022-05-26,87, TakeTwo Interactive      , Console   ,California,United States
,101 Studio,2022-06-28,150,ByteDance, Mobile    ,China,China
,Wushuan Studio,2022-09-06,,ByteDance, Online    ,China,China
,NetEase Spark Studio,2022-07-14,,NetEase, Publisher ,China,China
,Xbox,2022-10-18,1000, Microsoft                , Publisher ,Washington State,United States
,Lilith Games,2022-11-19,,, Publisher ,China,China
,Intellivision,2022-06-28,,, Tech      ,California,United States
,Amazon Luna,2022-11-17,, Amazon                   , Tech      ,Washington State,United States
,,,,,,,
,Spokko Studio,2022-12-06,, CD Projekt               , Mobile    ,Poland,Poland
,PlayStation,2022-04-01,93, Sony Entertainment       , Publisher ,California,Japan
,MPL,2022-05-22,100,, Mobile    ,India,India
, Electronic Arts           ,2022-05-18,200, Electronic Arts          , Publisher ,California,United States
,Playdots,2022-10-14,65, TakeTwo Interactive      ,Mobile,New York,United States
,Uken Games,2022-08-01,,, Mobile    ,British Columbia,Canada
,Onoma,2022-11-02,200, Embracer Group           , Mobile    ,Quebec,Sweden
,Age of Learning Inc.,2022-12-08,128,ABC Mouse, Online    ,California,United States
,Gamigo,2022-03-28,,Media and Games Invest, Publisher ,Washington State,Sweden
,Gamigo,2022-12-21,50,Media and Games Invest, Online    ,Washington State,Sweden
,Garena,2022-09-09,700,Sea Ltd., Online    ,Singapore,Singapore
,Mino Games,2022-08-26,,, Mobile    ,Quebec,Canada
,WIIMO Games,2022-11-02,,, Mobile    ,Texas,United States
,LineKong Interactive,2022-07-01,50,, Online    ,China,China
,Tencent IEG,2022-11-15,,Tencent, Online    ,China,China
,Penguin Esports,2022-06-01,,Tencent, Online    ,China,China
,Heartbeat Network,2022-01-15,600,, Publisher ,China,China
,Plarium Krasnador,2022-06-15,500,Plarium, Mobile    ,Russia,Israel
,Playgendary Minsk,2022-02-01,200,Playgendary, Mobile    ,Belarus,Cyprus
,Wargaming Minskj,2022-04-04,,Wargaming, Publisher ,Belarus,Russia
,Game Insight,2022-06-15,600,Game Insight, Mobile    ,Russia,Lithuania
,101XP,2022-06-02,,, Mobile    ,Russia,Russia
,Friday's Games,2022-06-21,50,, Mobile    ,Russia,Russia
