Field 1,Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
, Twitch                    ,2023-03-20,400, Amazon                   , Online    ,California,United States
, Team17                    ,2023-03-17,,Team17, Publisher ,England,United Kingdom
, Private Division          ,2023-03-07,, TakeTwo Interactive      , Publisher ,California,United States
, GameLoft Budapest         ,2023-03-01,100, GameLoft                 , Mobile    ,Hungary,France
, EA Baton Rouge            ,2023-02-28,200, Electronic Arts          , Publisher ,Lousiana,United States
, PUBG Santa Monica         ,2023-02-24,5, Krafton                  , Online    ,California,South Korea
, Survios                   ,2023-02-13,35,, AR/VR     ,California,United States
, Big Run Studios           ,2023-02-02,25,, Mobile    ,California,United States
, Nexon Games West          ,2023-02-02,80,Nexon, Online    ,California,South Korea
,Hyper Hippos Entertainment,2023-02-01,10,, Mobile    ,British Columbia,Canada
, Mutant Arm Studios        ,2023-02-01,31,, Indie     ,Oregon,United States
, EA Industrial Toys        ,2023-01-31,150, Electronic Arts          , Mobile    ,California,United States
, Respawn Entertainment     ,2023-01-31,, Electronic Arts          , Mobile    ,California,United States
, Wicked Realm Games        ,2023-01-30,60, Tilting Point            , Mobile    ,Massachusetts,United States
, Hidden Leaf Games         ,2023-01-25,30,, Indie     ,California,United States
,Roblox,2023-01-20,30,, Tech      ,California,United States
, HiRez Games               ,2023-01-19,,, Online    ,Georgia,United States
, 343 Studios               ,2023-01-19,95, Microsoft                , Console   ,Washington State,United States
, The Coalition             ,2023-01-19,, Microsoft                , Console   ,British Columbia,United States
, Bethesda Games            ,2023-01-19,, Microsoft                , Console   ,,United States
, Riot Games                ,2023-01-19,46,Tencent, Online    ,California,China
, Unity Technologies        ,2023-01-17,300,Unity, Tech      ,California,United States
, Wizards of the Coast      ,2023-01-03,15,Hasbro, Console   ,,United States
